"","name","latitude","longitude","gdp","X","kmc.cluster"
"1","Andorra",42.546245,1.601554,41791.96984,2.71,2
"2","United Arab Emirates",23.424076,53.847818,43839.32449,3.29,4
"3","Afghanistan",33.93911,67.709953,493.7565814,2.43,4
"4","Antigua and Barbuda",17.060816,-61.796428,16673.4369,2.14,6
"5","Albania",41.153332,20.168331,5284.380184,3.86,2
"6","Armenia",40.069099,45.038189,4220.540321,2.86,2
"7","Angola",-11.202692,17.873887,3289.643995,2.14,1
"8","Argentina",-38.416097,-63.616672,11633.49801,4,5
"9","Austria",47.516231,14.550072,51453.14702,3.29,3
"10","Australia",-25.274398,133.775136,57354.96405,4.57,7
"11","Azerbaijan",40.143105,47.576927,4739.84171,2.86,2
"12","Bosnia and Herzegovina",43.915886,17.679076,6072.184623,2.86,2
"13","Barbados",13.193887,-59.543198,17745.25537,3.14,6
"14","Bangladesh",23.684994,90.356331,1698.132081,3.43,4
"15","Belgium",50.503887,4.469936,47554.74631,3.43,3
"16","Burkina Faso",12.238333,-1.561593,813.0996894,3.14,1
"17","Bulgaria",42.733883,25.48583,9427.73043,4.14,2
"18","Bahrain",25.930414,50.637772,23991.04139,3.43,4
"19","Burundi",-3.373056,29.918886,271.7524964,2.29,1
"20","Benin",9.30769,2.315834,1240.830962,3.29,1
"21","Brunei",4.535277,114.727669,31628.47626,3.67,7
"22","Bolivia",-16.290154,-63.588653,3548.59078,3.43,5
"23","Brazil",-14.235004,-51.92528,9151.445253,4.29,5
"24","Bahamas",25.03428,-77.39628,33767.94119,2.57,6
"25","Bhutan",27.514162,90.433601,3243.477437,3.17,4
"26","Botswana",-22.328474,24.684866,8279.818457,2.57,1
"27","Belarus",53.709807,27.953389,6330.075246,3.29,2
"28","Belize",17.189877,-88.49765,5001.422157,2.29,6
"29","Canada",56.130366,-106.346771,46454.74339,4.14,3
"30","Congo, Dem. Rep.",-4.038333,21.758664,557.0644117,2.71,1
"31","Central African Republic",6.611111,20.939444,475.9538495,1.71,1
"32","Congo",-0.228021,15.827659,2601.410483,3.29,1
"33","Switzerland",46.818188,8.227512,86388.40495,3.57,3
"34","Cote d'Ivoire",7.539989,-5.54708,2314.050958,2.29,1
"35","Chile",-35.675147,-71.542969,15888.14436,4,5
"36","Cameroon",7.369722,12.354722,1534.492241,2.71,1
"37","China",35.86166,104.195397,9976.677137,3.29,4
"38","Colombia",4.570868,-74.297333,6729.583332,4.14,6
"39","Costa Rica",9.748917,-83.753428,12468.57529,4.29,6
"40","Cuba",21.521757,-77.781167,8824.194008,3.57,6
"41","Cape Verde",16.002082,-24.013197,3617.347445,2.86,6
"42","Cyprus",35.126413,33.429859,29089.47133,3.71,2
"43","Germany",51.165691,10.451526,47950.18081,3.57,3
"44","Djibouti",11.825138,42.590275,3141.879389,3.57,1
"45","Denmark",56.26392,9.501785,61591.92887,3.57,3
"46","Dominica",15.414999,-61.370976,7693.771453,2.71,6
"47","Dominican Republic",18.735693,-70.162651,8050.644076,2.43,6
"48","Algeria",28.033886,1.659626,4153.956234,3,2
"49","Ecuador",-1.831239,-78.183406,6295.934662,3.86,6
"50","Estonia",58.595272,25.013607,23052.30126,3.43,2
"51","Egypt",26.820553,30.802498,2537.125185,4.43,2
"52","Spain",40.463667,-3.74922,30349.7521,4.14,2
"53","Ethiopia",9.145,40.489673,771.5248663,2.71,1
"54","Finland",61.92411,25.748151,49964.49991,3.57,3
"55","Fiji",-16.578193,179.414413,6317.437799,3.29,7
"56","France",46.227638,2.213749,41572.48501,3.71,2
"57","Gabon",-0.803689,11.609444,7956.627816,2.14,1
"58","United Kingdom",55.378051,-3.435973,42992.80372,4.43,3
"59","Grenada",12.262776,-61.604171,10486.37759,2.14,6
"60","Georgia",42.315407,43.356892,4722.787783,3.14,2
"61","Ghana",7.946527,-1.023194,2194.232477,3.43,1
"62","Guinea",9.945587,-9.696645,955.1112811,2.86,1
"63","Equatorial Guinea",1.650801,10.267895,10005.61679,2.14,1
"64","Greece",39.074208,21.824312,19765.99645,3.71,2
"65","Guatemala",15.783471,-90.230759,4478.424646,2.86,6
"66","Guinea-Bissau",11.803749,-15.180413,802.7673851,2,1
"67","Guyana",4.860416,-58.93018,6145.818743,2.43,6
"68","Honduras",15.199999,-86.241905,2510.322943,3.71,6
"69","Croatia",45.1,15.2,15014.08502,3.57,2
"70","Haiti",18.971187,-72.285215,1435.350852,1.86,6
"71","Hungary",47.162494,19.503304,16411.44111,4.14,2
"72","Indonesia",-0.789275,113.921327,3893.859578,2.86,7
"73","Ireland",53.41291,-8.24389,79068.97461,4,3
"74","Israel",31.046051,34.851612,41704.82857,3,2
"75","India",20.593684,78.96288,1996.915087,3.57,4
"76","Iraq",33.223191,43.679291,5523.078375,2.57,2
"77","Iran, Islamic Rep.",32.427908,53.688046,3598.483454,4,2
"78","Iceland",64.963051,-19.020835,74469.80406,3.43,3
"79","Italy",41.87194,12.56738,34608.6756,3.43,2
"80","Jamaica",18.109581,-77.297508,5359.993789,2.71,6
"81","Jordan",30.585164,36.238414,4308.151074,3.57,2
"82","Japan",36.204824,138.252924,39808.16856,3,4
"83","Kenya",-0.023559,37.906193,1708.001428,3,1
"84","Kyrgyzstan",41.20438,74.766098,1308.139779,3.29,2
"85","Cambodia",12.565679,104.990963,1512.126989,3.14,4
"86","Kiribati",-3.370417,-168.734039,1698.329587,2.29,5
"87","Comoros",-11.875001,43.872219,1415.955164,2.29,1
"88","St. Kitts and Nevis",17.357822,-62.782998,19276.52127,2.29,6
"89","Korea, Rep.",35.907757,127.766922,33422.94421,3.43,4
"90","Kuwait",29.31166,47.481766,33399.06048,4.14,2
"91","Kazakhstan",48.019573,66.923684,9812.626371,3.29,2
"92","Laos",19.85627,102.495496,2542.489769,2.86,4
"93","Lebanon",33.854721,35.862285,8012.539237,3.71,2
"94","St. Lucia",13.909444,-60.978893,11357.82657,2.43,6
"95","Sri Lanka",7.873054,80.771797,4058.803511,3.43,4
"96","Liberia",6.428055,-9.429499,677.3223191,2.57,1
"97","Lesotho",-29.609988,28.233608,1192.48432,2.57,1
"98","Lithuania",55.169438,23.881275,19166.81227,3.57,2
"99","Luxembourg",49.815273,6.129583,116597.2956,3.71,3
"100","Latvia",56.879635,24.603189,17849.5593,3.71,2
"101","Libya",26.3351,17.228331,7877.12461,3.29,2
