Country,Year,Suicide_per_100k
AUS,1960,13.1
AUS,1961,14.5
AUS,1962,16.9
AUS,1963,19.2
AUS,1964,17.8
AUS,1965,18
AUS,1966,17.4
AUS,1967,18.4
AUS,1968,15.6
AUS,1969,14.9
AUS,1970,15
AUS,1971,16.3
AUS,1972,15
AUS,1973,13.8
AUS,1974,14.1
AUS,1975,13
AUS,1976,12.6
AUS,1977,12.9
AUS,1978,12.7
AUS,1979,13
AUS,1980,12.3
AUS,1981,12.5
AUS,1982,12.9
AUS,1983,12.1
AUS,1984,12.2
AUS,1985,12.6
AUS,1986,13.6
AUS,1987,14.2
AUS,1988,13.8
AUS,1989,12.9
AUS,1990,13.4
AUS,1991,13.7
AUS,1992,13.3
AUS,1993,11.9
AUS,1994,13.1
AUS,1995,12.2
AUS,1996,13.5
AUS,1997,14.5
AUS,1998,14.1
AUS,1999,13.3
AUS,2000,12.6
AUS,2001,12.8
AUS,2002,11.9
AUS,2003,10.9
AUS,2004,10.6
AUS,2006,10.5
AUS,2007,10.6
AUS,2008,10.9
AUS,2009,10.7
AUS,2010,10.9
AUS,2011,10.7
AUS,2012,11.4
AUS,2013,11.3
AUS,2014,12.5
AUS,2015,13.1
AUS,2016,12.1
AUS,2017,13
AUS,2018,12.3
AUT,1960,24.2
AUT,1961,23.2
AUT,1962,23.8
AUT,1963,23
AUT,1964,24.1
AUT,1965,24.4
AUT,1966,24.6
AUT,1967,24
AUT,1968,23.7
AUT,1969,24.3
AUT,1970,26.4
AUT,1971,24.9
AUT,1972,25.5
AUT,1973,24.2
AUT,1974,25.7
AUT,1975,26.1
AUT,1976,24.4
AUT,1977,25.8
AUT,1978,26.1
AUT,1979,26.5
AUT,1980,26.9
AUT,1981,27.9
AUT,1982,28.5
AUT,1983,27.9
AUT,1984,27.6
AUT,1985,28.1
AUT,1986,28.7
AUT,1987,27.6
AUT,1988,24.6
AUT,1989,25.1
AUT,1990,23.9
AUT,1991,22.9
AUT,1992,22.6
AUT,1993,21.7
AUT,1994,22.5
AUT,1995,22.4
AUT,1996,22.3
AUT,1997,19.7
AUT,1998,19.5
AUT,1999,19.3
AUT,2000,19.4
AUT,2001,18
AUT,2002,18.6
AUT,2003,17.4
AUT,2004,16.7
AUT,2005,16.2
AUT,2006,14.7
AUT,2007,14.6
AUT,2008,14.1
AUT,2009,14.1
AUT,2010,13.9
AUT,2011,14.1
AUT,2012,13.7
AUT,2013,13.6
AUT,2014,13.9
AUT,2015,12.9
AUT,2016,12.2
AUT,2017,12.4
AUT,2018,12.1
AUT,2019,11
BEL,1960,16.3
BEL,1961,16.2
BEL,1962,15
BEL,1963,15.6
BEL,1964,15.5
BEL,1965,16.7
BEL,1966,16
BEL,1967,16.6
BEL,1968,17.1
BEL,1969,16.8
BEL,1970,18.2
BEL,1971,17
BEL,1972,17
BEL,1973,16.4
BEL,1974,17.1
BEL,1975,17.5
BEL,1976,17.9
BEL,1977,20.3
BEL,1978,22
BEL,1979,22.7
BEL,1980,23.4
BEL,1981,23
BEL,1982,22.8
BEL,1983,23.8
BEL,1984,24.6
BEL,1985,23.8
BEL,1986,22.8
BEL,1987,23.1
BEL,1988,20.5
BEL,1989,19.5
BEL,1990,19.2
BEL,1991,18.1
BEL,1992,18.7
BEL,1993,21.3
BEL,1994,21
BEL,1995,21.1
BEL,1996,19.6
BEL,1997,20.9
BEL,1998,19.6
BEL,1999,17.8
BEL,2000,20.5
BEL,2001,20.5
BEL,2002,19.5
BEL,2003,19.7
BEL,2004,18.4
BEL,2005,18.6
BEL,2006,17.7
BEL,2007,16.7
BEL,2008,17.9
BEL,2009,17.9
BEL,2010,17.8
BEL,2011,18.1
BEL,2012,17.4
BEL,2013,16.2
BEL,2014,16.1
BEL,2015,15.8
BEL,2016,15.9
CAN,1960,10
CAN,1961,10.1
CAN,1962,9.4
CAN,1963,10
CAN,1964,10.8
CAN,1965,11.5
CAN,1966,11.1
CAN,1967,11.5
CAN,1968,12.2
CAN,1969,13.5
CAN,1970,13.8
CAN,1971,14.3
CAN,1972,14.2
CAN,1973,14.7
CAN,1974,14.7
CAN,1975,13.8
CAN,1976,14.2
CAN,1977,15.5
CAN,1978,16
CAN,1979,15.1
CAN,1980,15.1
CAN,1981,14.9
CAN,1982,15.2
CAN,1983,15.9
CAN,1984,14.3
CAN,1985,13.3
CAN,1986,14.9
CAN,1987,14.5
CAN,1988,13.8
CAN,1989,13.6
CAN,1990,12.8
CAN,1991,13.3
CAN,1992,13.2
CAN,1993,13.3
CAN,1994,13
CAN,1995,13.4
CAN,1996,13.3
CAN,1997,12.3
CAN,1998,12.2
CAN,1999,13.2
CAN,2000,11.5
CAN,2001,11.7
CAN,2002,11.5
CAN,2003,11.7
CAN,2004,11
CAN,2005,11.2
CAN,2006,10.8
CAN,2007,10.6
CAN,2008,10.7
CAN,2009,11.1
